,Hr0,Hr1,Hr2,Hr3,Hr4,Hr5,Hr6,Hr7,Hr8,Hr9,Hr10,Hr11
88,22.52,34.39,31.87,26.13,26.43,27.05,24.09,22.55,21.2,20.01,19.84,19.42
89,34.39,31.87,26.13,26.43,27.05,24.09,22.55,21.2,20.01,19.84,19.42,20.57
90,31.87,26.13,26.43,27.05,24.09,22.55,21.2,20.01,19.84,19.42,20.57,22.57
91,26.13,26.43,27.05,24.09,22.55,21.2,20.01,19.84,19.42,20.57,22.57,25.55
92,26.43,27.05,24.09,22.55,21.2,20.01,19.84,19.42,20.57,22.57,25.55,28.82
93,27.05,24.09,22.55,21.2,20.01,19.84,19.42,20.57,22.57,25.55,28.82,30.94
94,24.09,22.55,21.2,20.01,19.84,19.42,20.57,22.57,25.55,28.82,30.94,29.91
95,22.55,21.2,20.01,19.84,19.42,20.57,22.57,25.55,28.82,30.94,29.91,24.79
96,21.2,20.01,19.84,19.42,20.57,22.57,25.55,28.82,30.94,29.91,24.79,23.03
97,20.01,19.84,19.42,20.57,22.57,25.55,28.82,30.94,29.91,24.79,23.03,22.67
98,19.84,19.42,20.57,22.57,25.55,28.82,30.94,29.91,24.79,23.03,22.67,21.55
99,19.42,20.57,22.57,25.55,28.82,30.94,29.91,24.79,23.03,22.67,21.55,20.2
100,20.57,22.57,25.55,28.82,30.94,29.91,24.79,23.03,22.67,21.55,20.2,19.48
101,22.57,25.55,28.82,30.94,29.91,24.79,23.03,22.67,21.55,20.2,19.48,19.51
102,25.55,28.82,30.94,29.91,24.79,23.03,22.67,21.55,20.2,19.48,19.51,23.82
103,28.82,30.94,29.91,24.79,23.03,22.67,21.55,20.2,19.48,19.51,23.82,21.51
104,30.94,29.91,24.79,23.03,22.67,21.55,20.2,19.48,19.51,23.82,21.51,19.56
105,29.91,24.79,23.03,22.67,21.55,20.2,19.48,19.51,23.82,21.51,19.56,18.98
106,24.79,23.03,22.67,21.55,20.2,19.48,19.51,23.82,21.51,19.56,18.98,17.72
107,23.03,22.67,21.55,20.2,19.48,19.51,23.82,21.51,19.56,18.98,17.72,19.08
108,22.67,21.55,20.2,19.48,19.51,23.82,21.51,19.56,18.98,17.72,19.08,16.75
109,21.55,20.2,19.48,19.51,23.82,21.51,19.56,18.98,17.72,19.08,16.75,16.85
110,20.2,19.48,19.51,23.82,21.51,19.56,18.98,17.72,19.08,16.75,16.85,16.01
111,19.48,19.51,23.82,21.51,19.56,18.98,17.72,19.08,16.75,16.85,16.01,16.19
112,19.51,23.82,21.51,19.56,18.98,17.72,19.08,16.75,16.85,16.01,16.19,16.24
113,23.82,21.51,19.56,18.98,17.72,19.08,16.75,16.85,16.01,16.19,16.24,18.08
114,21.51,19.56,18.98,17.72,19.08,16.75,16.85,16.01,16.19,16.24,18.08,18.9
115,19.56,18.98,17.72,19.08,16.75,16.85,16.01,16.19,16.24,18.08,18.9,17.0
116,18.98,17.72,19.08,16.75,16.85,16.01,16.19,16.24,18.08,18.9,17.0,18.82
117,17.72,19.08,16.75,16.85,16.01,16.19,16.24,18.08,18.9,17.0,18.82,21.66
118,19.08,16.75,16.85,16.01,16.19,16.24,18.08,18.9,17.0,18.82,21.66,21.64
119,16.75,16.85,16.01,16.19,16.24,18.08,18.9,17.0,18.82,21.66,21.64,19.28
120,16.85,16.01,16.19,16.24,18.08,18.9,17.0,18.82,21.66,21.64,19.28,17.9
121,16.01,16.19,16.24,18.08,18.9,17.0,18.82,21.66,21.64,19.28,17.9,17.05
122,16.19,16.24,18.08,18.9,17.0,18.82,21.66,21.64,19.28,17.9,17.05,16.46
123,16.24,18.08,18.9,17.0,18.82,21.66,21.64,19.28,17.9,17.05,16.46,15.85
124,18.08,18.9,17.0,18.82,21.66,21.64,19.28,17.9,17.05,16.46,15.85,15.58
125,18.9,17.0,18.82,21.66,21.64,19.28,17.9,17.05,16.46,15.85,15.58,16.16
126,17.0,18.82,21.66,21.64,19.28,17.9,17.05,16.46,15.85,15.58,16.16,20.98
127,18.82,21.66,21.64,19.28,17.9,17.05,16.46,15.85,15.58,16.16,20.98,20.7
128,21.66,21.64,19.28,17.9,17.05,16.46,15.85,15.58,16.16,20.98,20.7,18.8
129,21.64,19.28,17.9,17.05,16.46,15.85,15.58,16.16,20.98,20.7,18.8,16.76
130,19.28,17.9,17.05,16.46,15.85,15.58,16.16,20.98,20.7,18.8,16.76,16.28
131,17.9,17.05,16.46,15.85,15.58,16.16,20.98,20.7,18.8,16.76,16.28,16.31
132,17.05,16.46,15.85,15.58,16.16,20.98,20.7,18.8,16.76,16.28,16.31,16.46
133,16.46,15.85,15.58,16.16,20.98,20.7,18.8,16.76,16.28,16.31,16.46,11.4
134,15.85,15.58,16.16,20.98,20.7,18.8,16.76,16.28,16.31,16.46,11.4,11.0
135,15.58,16.16,20.98,20.7,18.8,16.76,16.28,16.31,16.46,11.4,11.0,11.96
136,16.16,20.98,20.7,18.8,16.76,16.28,16.31,16.46,11.4,11.0,11.96,12.01
137,20.98,20.7,18.8,16.76,16.28,16.31,16.46,11.4,11.0,11.96,12.01,15.3
138,20.7,18.8,16.76,16.28,16.31,16.46,11.4,11.0,11.96,12.01,15.3,18.7
139,18.8,16.76,16.28,16.31,16.46,11.4,11.0,11.96,12.01,15.3,18.7,18.18
140,16.76,16.28,16.31,16.46,11.4,11.0,11.96,12.01,15.3,18.7,18.18,20.99
141,16.28,16.31,16.46,11.4,11.0,11.96,12.01,15.3,18.7,18.18,20.99,21.5
142,16.31,16.46,11.4,11.0,11.96,12.01,15.3,18.7,18.18,20.99,21.5,22.11
143,16.46,11.4,11.0,11.96,12.01,15.3,18.7,18.18,20.99,21.5,22.11,21.9
144,11.4,11.0,11.96,12.01,15.3,18.7,18.18,20.99,21.5,22.11,21.9,22.21
145,11.0,11.96,12.01,15.3,18.7,18.18,20.99,21.5,22.11,21.9,22.21,22.75
146,11.96,12.01,15.3,18.7,18.18,20.99,21.5,22.11,21.9,22.21,22.75,22.95
